Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
14900	0.3092	-nan	0.3092	0.309699	0.0194407	0	0.3323	-nan	0.3323	0.32807	0.0208993	0	0.3704	-nan	0.3704	0.368645	0.0179822	0
15000	0.3105	-nan	0.3105	0.313205	0.0156706	0	0.3285	-nan	0.3285	0.322633	0.0202782	0	0.3772	-nan	0.3772	0.375162	0.0227124	0
15100	0.3298	-nan	0.3298	0.323109	0.0178052	0	0.3178	-nan	0.3178	0.323331	0.0192069	0	0.3688	-nan	0.3688	0.374239	0.0216369	0
15200	0.3278	-nan	0.3278	0.332017	0.0135511	0	0.3174	-nan	0.3174	0.319608	0.0160623	0	0.3778	-nan	0.3778	0.377843	0.0231843	0
15300	0.3369	-nan	0.3369	0.336164	0.0152298	0	0.321	-nan	0.321	0.315097	0.0181963	0	0.3858	-nan	0.3858	0.3858	0.0189272	0
15400	0.3413	-nan	0.3413	0.336678	0.0113687	0	0.3145	-nan	0.3145	0.323243	0.0195625	0	0.3854	-nan	0.3854	0.385128	0.0167048	0
15500	0.3389	-nan	0.3389	0.336917	0.0154993	0	0.329	-nan	0.329	0.333642	0.0213665	0	0.388	-nan	0.388	0.385515	0.0199153	0
15600	0.3347	-nan	0.3347	0.334567	0.0147305	0	0.3522	-nan	0.3522	0.348503	0.0223625	0	0.3876	-nan	0.3876	0.387554	0.0133211	0
15700	0.336	-nan	0.336	0.337687	0.0175065	0	0.3437	-nan	0.3437	0.348762	0.0238418	0	0.3806	-nan	0.3806	0.380527	0.0122602	0
15800	0.3362	-nan	0.3362	0.338855	0.0210628	0	0.3374	-nan	0.3374	0.338438	0.0195785	0	0.3754	-nan	0.3754	0.380958	0.0141312	0
15900	0.3427	-nan	0.3427	0.346661	0.0170272	0	0.3407	-nan	0.3407	0.336764	0.0196416	0	0.3775	-nan	0.3775	0.377103	0.0137848	0
16000	0.3521	-nan	0.3521	0.345058	0.0175743	0	0.3288	-nan	0.3288	0.332393	0.0196214	0	0.3814	-nan	0.3814	0.370284	0.0158813	0
16100	0.3606	-nan	0.3606	0.362838	0.0177715	0	0.3369	-nan	0.3369	0.330446	0.02394	0	0.3732	-nan	0.3732	0.370431	0.0111656	0
16200	0.3544	-nan	0.3544	0.352402	0.0272997	0	0.3345	-nan	0.3345	0.334643	0.029444	0	0.3746	-nan	0.3746	0.369111	0.0128603	0
