Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
422500	0.6024	0.426829	0.609906	0.606946	0.019786	0.047	0.4553	0.548963	0.42556	0.413043	0.487032	0.247	0.5074	0.487442	0.512866	0.508254	0.49379	0.21	0.4978	0.511364	0.493974	0.481064	0.485531	0.229	0.4741	0.557261	0.447694	0.450676	0.487897	0.265	0.4801	0.517917	0.468158	0.476566	0.49213	0.259	0.6095	0.339286	0.62553	0.630509	0.0441443	0.058	0.4526	0.566275	0.413691	0.399203	0.481073	0.299	0.5229	0.474033	0.5337	0.521815	0.491741	0.202	0.4766	0.542291	0.457309	0.449426	0.486979	0.234
423000	0.6038	0.3875	0.616631	0.616039	0.021972	0.061	0.5076	0.483028	0.51445	0.520813	0.487708	0.227	0.4516	0.584247	0.396893	0.385496	0.476835	0.282	0.4752	0.521101	0.462404	0.441015	0.491835	0.224	0.4879	0.518932	0.479849	0.491469	0.494099	0.197	0.4652	0.555745	0.437386	0.448189	0.492897	0.218	0.6256	0.364286	0.637056	0.638221	0.0292237	0.044	0.4955	0.508051	0.491623	0.475458	0.490877	0.222	0.4936	0.509524	0.488817	0.48067	0.495229	0.216	0.475	0.518382	0.458791	0.429852	0.484553	0.277
423500	0.6116	0.396667	0.625319	0.627609	0.017659	0.059	0.4533	0.57767	0.397685	0.386441	0.480374	0.297	0.4426	0.582264	0.392245	0.377478	0.477675	0.264	0.4883	0.523451	0.478036	0.47616	0.484968	0.258	0.4955	0.519907	0.488776	0.518436	0.494555	0.239	0.514	0.476	0.525032	0.52148	0.493442	0.218	0.6251	0.372222	0.634544	0.63235	0.0142826	0.04	0.4948	0.486636	0.497063	0.500806	0.492169	0.221	0.5068	0.467857	0.516294	0.53906	0.49628	0.18	0.5035	0.494182	0.507034	0.515717	0.487449	0.296
424000	0.6164	0.375676	0.625649	0.625278	0.0223936	0.05	0.4619	0.569048	0.425802	0.436651	0.488228	0.251	0.5019	0.510526	0.499352	0.505983	0.487663	0.237	0.5105	0.469811	0.518193	0.523025	0.493312	0.158	0.4676	0.566434	0.428011	0.43257	0.491515	0.266	0.4617	0.55125	0.433421	0.471303	0.489865	0.247	0.5933	0.4	0.604118	0.612725	0.0225158	0.046	0.4806	0.523445	0.469279	0.48518	0.49482	0.204	0.4692	0.560909	0.443333	0.429208	0.488712	0.221	0.4912	0.513679	0.485152	0.479434	0.488829	0.224
424500	0.6222	0.335417	0.63666	0.635222	0.0146544	0.059	0.4665	0.54417	0.435844	0.427062	0.487171	0.273	0.4798	0.530222	0.465161	0.471482	0.493368	0.204	0.4892	0.500962	0.486111	0.524785	0.495357	0.251	0.4591	0.579208	0.406887	0.412274	0.488065	0.267	0.4782	0.527615	0.462681	0.493883	0.491605	0.215	0.6123	0.351471	0.63133	0.636747	0.0155742	0.073	0.4646	0.556184	0.428452	0.427361	0.489036	0.253	0.4718	0.538571	0.454051	0.474614	0.490935	0.223	0.4429	0.579705	0.392044	0.414433	0.480541	0.278
425000	0.6285	0.377778	0.645358	0.6396	0.0172794	0.059	0.5083	0.486528	0.513507	0.516596	0.495151	0.181	0.5016	0.502193	0.501425	0.487855	0.487294	0.225	0.4657	0.565702	0.433773	0.456455	0.48827	0.253	0.4714	0.547266	0.445296	0.445282	0.48905	0.258	0.4608	0.561719	0.426075	0.418341	0.4861	0.245	0.6061	0.372917	0.617857	0.616394	0.0197067	0.052	0.4855	0.52069	0.476537	0.496768	0.495165	0.191	0.4554	0.570703	0.415726	0.428488	0.480549	0.245	0.541	0.435616	0.570551	0.564316	0.479237	0.187
425500	0.6228	0.354167	0.643642	0.641408	0.0145845	0.069	0.4835	0.530208	0.472401	0.501592	0.492231	0.187	0.4623	0.558844	0.422096	0.413922	0.486351	0.281	0.4773	0.528947	0.462047	0.466378	0.491324	0.232	0.5018	0.505446	0.500877	0.465314	0.483605	0.205	0.5008	0.520556	0.496463	0.503637	0.491346	0.157	0.6043	0.387143	0.620645	0.614767	0.0365681	0.065	0.4582	0.572273	0.426026	0.452787	0.482029	0.228	0.5379	0.438835	0.563602	0.555985	0.483816	0.193	0.5087	0.469307	0.518672	0.513823	0.486182	0.212
426000	0.6402	0.388462	0.654008	0.651545	0.01632	0.057	0.5435	0.465086	0.567187	0.529242	0.488612	0.205	0.4848	0.519289	0.476339	0.481554	0.489412	0.176	0.4436	0.586307	0.398287	0.417754	0.479889	0.252	0.523	0.482353	0.533417	0.537947	0.489737	0.193	0.5052	0.477778	0.512358	0.515011	0.48279	0.19	0.6174	0.360526	0.638528	0.634412	0.0187736	0.079	0.4956	0.493119	0.496292	0.502122	0.481912	0.228	0.4759	0.516216	0.466748	0.496156	0.495545	0.19	0.4951	0.515166	0.489734	0.492747	0.490336	0.231
426500	0.6178	0.362745	0.631507	0.639685	0.0280759	0.065	0.4722	0.555959	0.452169	0.439909	0.489074	0.195	0.4753	0.569888	0.440492	0.435638	0.491072	0.249	0.4653	0.560755	0.430884	0.413295	0.488122	0.266	0.4682	0.543407	0.451467	0.446926	0.490103	0.181	0.4804	0.520755	0.469543	0.500159	0.490953	0.224	0.5989	0.40566	0.609715	0.602005	0.0412691	0.055	0.459	0.536681	0.435927	0.43879	0.485767	0.216	0.4699	0.565328	0.433884	0.41535	0.484847	0.295	0.4725	0.535233	0.457497	0.47496	0.491722	0.201
427000	0.6114	0.386111	0.619813	0.625473	0.0242943	0.04	0.4487	0.585874	0.398222	0.412851	0.481843	0.283	0.4464	0.617568	0.374432	0.355349	0.467223	0.265	0.4701	0.559233	0.434222	0.423481	0.482294	0.286	0.4617	0.568182	0.419048	0.407226	0.484289	0.305	0.5054	0.500474	0.506717	0.506783	0.495172	0.207	0.6205	0.358333	0.640841	0.635495	0.034148	0.057	0.4965	0.504641	0.493971	0.480741	0.494667	0.252	0.4543	0.568837	0.42293	0.452332	0.484168	0.202	0.4584	0.563348	0.428626	0.456183	0.49146	0.23
427500	0.6275	0.348333	0.645319	0.645679	0.0230998	0.054	0.4898	0.503704	0.48656	0.484685	0.488145	0.16	0.5202	0.486854	0.529225	0.518138	0.492248	0.233	0.4776	0.53018	0.462596	0.476417	0.484825	0.236	0.4676	0.581013	0.432372	0.440066	0.491047	0.214	0.4465	0.604082	0.395364	0.440466	0.492128	0.249	0.6221	0.369767	0.633438	0.63882	0.0210973	0.049	0.4844	0.513744	0.476553	0.490503	0.493093	0.194	0.4732	0.537073	0.45673	0.459504	0.490045	0.185	0.4388	0.568326	0.402054	0.376419	0.471228	0.223
428000	0.6234	0.358025	0.64679	0.653443	0.0278258	0.09	0.4648	0.548289	0.435007	0.450794	0.491959	0.259	0.5474	0.45414	0.564769	0.589053	0.481606	0.177	0.5077	0.453261	0.519975	0.525328	0.487417	0.202	0.493	0.534322	0.480236	0.471332	0.486846	0.246	0.4382	0.596441	0.376356	0.367256	0.470005	0.271	0.6139	0.396078	0.625606	0.624034	0.0225452	0.041	0.4676	0.54	0.444737	0.482564	0.486324	0.23	0.4666	0.532301	0.447416	0.437598	0.486581	0.229	0.4649	0.557282	0.423589	0.434431	0.484941	0.285
428500	0.6144	0.345455	0.640351	0.636419	0.0419496	0.081	0.4825	0.518848	0.473918	0.488736	0.48733	0.176	0.4212	0.626429	0.341389	0.341443	0.469136	0.28	0.5132	0.452247	0.526399	0.512521	0.494287	0.175	0.4894	0.515385	0.482576	0.52553	0.489356	0.204	0.4662	0.566376	0.436446	0.426121	0.488922	0.226	0.5859	0.4	0.59589	0.58886	0.0566446	0.044	0.4523	0.564286	0.411717	0.431788	0.489757	0.261	0.5233	0.464286	0.537687	0.513889	0.488369	0.197	0.4433	0.569756	0.410692	0.40025	0.475109	0.207
429000	0.6478	0.351111	0.66178	0.65745	0.0474354	0.042	0.4748	0.544128	0.447705	0.423936	0.485739	0.237	0.4691	0.538496	0.448837	0.486369	0.492455	0.23	0.4871	0.5375	0.465909	0.483144	0.488862	0.287	0.4605	0.544094	0.432038	0.44304	0.493636	0.232	0.5134	0.452432	0.527239	0.528973	0.4907	0.199	0.6037	0.407407	0.614905	0.614454	0.0393423	0.052	0.4438	0.587681	0.38895	0.423229	0.483641	0.261	0.5069	0.51086	0.505777	0.50479	0.49168	0.228	0.4684	0.538136	0.446859	0.443868	0.487444	0.247
429500	0.6526	0.357407	0.66945	0.672357	0.025139	0.061	0.5253	0.459067	0.54114	0.536884	0.491845	0.17	0.5001	0.498995	0.500375	0.518549	0.490986	0.22	0.4902	0.527473	0.481907	0.521116	0.487934	0.185	0.4397	0.591513	0.383265	0.425773	0.48835	0.285	0.4895	0.527106	0.475378	0.456672	0.488042	0.266	0.5913	0.411429	0.597824	0.607828	0.0547709	0.04	0.4702	0.587549	0.42961	0.455143	0.495666	0.262	0.5172	0.463492	0.529716	0.512298	0.481892	0.19	0.4749	0.541667	0.463668	0.488417	0.479404	0.138
430000	0.6568	0.339583	0.672794	0.675559	0.0183437	0.046	0.4968	0.517413	0.491615	0.499679	0.490665	0.205	0.4822	0.512245	0.47245	0.44692	0.4904	0.24	0.5259	0.491011	0.533455	0.540066	0.491284	0.174	0.5129	0.504571	0.514667	0.508692	0.493731	0.165	0.4922	0.476301	0.495526	0.491914	0.493222	0.196	0.6187	0.330769	0.630385	0.626087	0.076197	0.036	0.4727	0.535385	0.450676	0.487715	0.491294	0.24	0.4962	0.511397	0.490522	0.451265	0.486453	0.247	0.449	0.608989	0.390723	0.380453	0.461006	0.276
430500	0.655	0.338776	0.671293	0.671061	0.0131603	0.059	0.5141	0.493085	0.518966	0.53006	0.495246	0.193	0.508	0.481057	0.515912	0.512642	0.493579	0.219	0.4587	0.559314	0.432915	0.447619	0.487986	0.208	0.4492	0.585496	0.400813	0.424466	0.480749	0.281	0.4863	0.533597	0.470281	0.441155	0.493819	0.252	0.654	0.320312	0.676816	0.683319	0.0477258	0.076	0.4784	0.510762	0.469112	0.497583	0.49219	0.232	0.4646	0.560311	0.431494	0.435396	0.483456	0.265	0.5039	0.480203	0.509714	0.515853	0.491112	0.226
431000	0.6524	0.310145	0.677766	0.673381	0.0155162	0.057	0.4501	0.557401	0.40899	0.398571	0.486884	0.274	0.4647	0.554839	0.434973	0.439204	0.488134	0.231	0.5136	0.507643	0.514709	0.508038	0.493023	0.153	0.4939	0.475336	0.499228	0.495185	0.482772	0.228	0.4913	0.524275	0.478729	0.467602	0.491364	0.286	0.6581	0.335821	0.681243	0.677709	0.0687102	0.073	0.453	0.577323	0.40725	0.41753	0.488202	0.248	0.5019	0.505442	0.50129	0.502715	0.492213	0.143	0.5243	0.460094	0.541677	0.552675	0.48647	0.214
431500	0.6361	0.31	0.656915	0.658593	0.0147984	0.06	0.4574	0.551244	0.433792	0.468341	0.488917	0.197	0.452	0.564599	0.409504	0.408615	0.483252	0.268	0.4472	0.586667	0.399463	0.424923	0.483729	0.292	0.4795	0.521495	0.468066	0.482299	0.47124	0.217	0.4379	0.596622	0.371165	0.361892	0.47097	0.299	0.6319	0.337681	0.653706	0.649266	0.0598446	0.071	0.4686	0.548289	0.440163	0.443928	0.491467	0.272	0.4881	0.514359	0.481739	0.489148	0.477764	0.194	0.4671	0.572069	0.424225	0.457256	0.492122	0.297
432000	0.6485	0.355102	0.663617	0.668664	0.0188083	0.063	0.4781	0.523256	0.465732	0.468736	0.494514	0.226	0.4891	0.508696	0.480742	0.466723	0.491686	0.299	0.491	0.530457	0.48132	0.499671	0.494351	0.21	0.4527	0.604407	0.38922	0.398219	0.486624	0.279	0.4944	0.511739	0.489221	0.495554	0.493739	0.253	0.6143	0.407317	0.623149	0.620614	0.03565	0.045	0.5099	0.489172	0.51376	0.513422	0.490198	0.144	0.5071	0.50393	0.508042	0.520567	0.488107	0.234	0.5022	0.492857	0.504478	0.523745	0.492459	0.195
432500	0.6374	0.325532	0.652781	0.657617	0.0262013	0.066	0.4578	0.565021	0.423382	0.421343	0.486408	0.27	0.5015	0.482166	0.505101	0.515021	0.493417	0.158	0.4562	0.572388	0.413661	0.433623	0.492674	0.264	0.4488	0.592	0.394483	0.386446	0.482963	0.271	0.4687	0.567883	0.431267	0.424417	0.488552	0.297	0.5974	0.392754	0.612567	0.620068	0.025718	0.07	0.4746	0.560993	0.440669	0.439585	0.481763	0.299	0.4739	0.521327	0.461217	0.474323	0.48107	0.206	0.4834	0.515714	0.47481	0.499121	0.48492	0.21
433000	0.6358	0.359459	0.646417	0.652872	0.0214307	0.034	0.4383	0.600435	0.38987	0.414419	0.480135	0.249	0.4727	0.536458	0.45755	0.466769	0.491587	0.179	0.4733	0.53574	0.449378	0.444086	0.488034	0.254	0.4841	0.55188	0.459537	0.444924	0.483304	0.253	0.4445	0.592434	0.379885	0.370706	0.467444	0.29	0.6117	0.332609	0.625157	0.620277	0.0365464	0.051	0.446	0.600376	0.390054	0.385063	0.483136	0.295	0.5157	0.502715	0.519384	0.520471	0.494804	0.197	0.4876	0.522472	0.474898	0.49607	0.494514	0.254
433500	0.6244	0.361111	0.634232	0.638013	0.0346856	0.043	0.4942	0.521963	0.486641	0.493313	0.487432	0.213	0.5275	0.482036	0.536615	0.513937	0.492532	0.184	0.5204	0.467284	0.530668	0.548512	0.484474	0.155	0.4305	0.605556	0.371524	0.399727	0.478017	0.26	0.4832	0.532308	0.465946	0.452751	0.49078	0.247	0.6283	0.366	0.642105	0.640634	0.0305021	0.047	0.484	0.498932	0.478164	0.477707	0.492946	0.278	0.5112	0.488384	0.516833	0.497312	0.488108	0.187	0.4681	0.541951	0.449057	0.462705	0.487296	0.191
434000	0.6113	0.394828	0.624628	0.627346	0.0268667	0.046	0.4976	0.479343	0.502541	0.46834	0.490479	0.215	0.4738	0.547534	0.452638	0.454427	0.493079	0.239	0.4627	0.565574	0.429497	0.416197	0.482188	0.248	0.5032	0.498333	0.504268	0.496742	0.496587	0.197	0.4641	0.568778	0.434403	0.449324	0.485557	0.244	0.6512	0.367797	0.668969	0.668095	0.0149621	0.061	0.4935	0.516288	0.485326	0.475339	0.492198	0.232	0.4889	0.529018	0.47732	0.478105	0.493778	0.221	0.4882	0.529224	0.476697	0.475888	0.495789	0.224
434500	0.6201	0.358491	0.634741	0.626888	0.0477832	0.04	0.4751	0.540693	0.455397	0.43219	0.488614	0.21	0.4844	0.5364	0.467067	0.451743	0.494421	0.239	0.4472	0.583333	0.404211	0.410279	0.490345	0.243	0.5116	0.509057	0.512517	0.504377	0.493809	0.249	0.475	0.518265	0.462868	0.487554	0.479857	0.213	0.6355	0.343678	0.663308	0.665463	0.0146701	0.086	0.4901	0.517672	0.481771	0.467168	0.49229	0.222	0.4705	0.555745	0.444314	0.426685	0.4895	0.228	0.4757	0.524889	0.461419	0.435093	0.485335	0.214
435000	0.6406	0.342857	0.672949	0.663756	0.0336919	0.098	0.4894	0.501869	0.486005	0.491107	0.493439	0.205	0.4711	0.571698	0.43483	0.442275	0.485226	0.265	0.4538	0.55814	0.41752	0.412358	0.48721	0.232	0.4945	0.500498	0.492991	0.484139	0.485361	0.212	0.485	0.53629	0.468085	0.432315	0.47332	0.237	0.6103	0.342254	0.630786	0.62982	0.0301295	0.068	0.4863	0.533486	0.473146	0.510457	0.491739	0.232	0.5145	0.474762	0.525063	0.542962	0.488236	0.211	0.4412	0.57868	0.407472	0.412873	0.483863	0.224
435500	0.6564	0.314545	0.676296	0.675948	0.00756749	0.058	0.4808	0.535821	0.466959	0.452239	0.491417	0.22	0.4563	0.567647	0.421522	0.434125	0.481708	0.228	0.4957	0.510417	0.492203	0.484717	0.494861	0.21	0.4549	0.578298	0.416993	0.439538	0.488812	0.261	0.4606	0.575104	0.424242	0.444739	0.478428	0.248	0.628	0.372308	0.645775	0.647004	0.0257913	0.049	0.5081	0.490576	0.512237	0.519947	0.491303	0.196	0.4854	0.515126	0.476115	0.464784	0.494971	0.211	0.4908	0.515385	0.48329	0.44995	0.487978	0.226
436000	0.6686	0.322857	0.68114	0.681076	0.0187002	0.033	0.4396	0.599184	0.387815	0.368197	0.468297	0.26	0.4644	0.561265	0.431593	0.421998	0.488898	0.256	0.4478	0.606375	0.39466	0.411408	0.487508	0.25	0.4665	0.551864	0.43078	0.407377	0.484017	0.3	0.4698	0.530804	0.452191	0.450204	0.477065	0.232	0.634	0.395833	0.646008	0.639285	0.0376387	0.046	0.4777	0.522266	0.462366	0.467701	0.495601	0.251	0.4667	0.536216	0.45092	0.452294	0.493081	0.215	0.4274	0.625623	0.34993	0.336199	0.462935	0.25
436500	0.6631	0.330769	0.681329	0.674014	0.0232854	0.055	0.5087	0.491866	0.513148	0.514486	0.490116	0.218	0.5322	0.486093	0.5404	0.54644	0.486383	0.146	0.4769	0.543627	0.459799	0.480882	0.492329	0.208	0.5259	0.448536	0.550197	0.537452	0.488851	0.256	0.4917	0.488095	0.492658	0.468943	0.48893	0.197	0.6392	0.349123	0.656734	0.65382	0.0394103	0.042	0.4903	0.507851	0.484697	0.500439	0.486111	0.248	0.4597	0.572727	0.421419	0.40668	0.485577	0.242	0.4967	0.490306	0.498259	0.499628	0.494741	0.215
437000	0.6378	0.364583	0.651576	0.651654	0.0240398	0.055	0.4929	0.48436	0.495184	0.491501	0.489616	0.216	0.4863	0.516592	0.477606	0.464526	0.491482	0.24	0.448	0.590244	0.401592	0.424385	0.484913	0.252	0.4668	0.566406	0.432527	0.427596	0.488602	0.257	0.4729	0.533603	0.452988	0.427582	0.487907	0.255	0.6456	0.4	0.657712	0.652902	0.0207754	0.051	0.4882	0.53615	0.475222	0.508859	0.486063	0.214	0.46	0.539662	0.435256	0.412329	0.485308	0.226	0.4897	0.504167	0.486262	0.504798	0.492601	0.209
437500	0.6246	0.369231	0.642353	0.651494	0.0242065	0.066	0.4552	0.552966	0.425	0.422345	0.484943	0.207	0.4869	0.537455	0.467724	0.458781	0.489668	0.271	0.4427	0.626911	0.353195	0.343181	0.467559	0.322	0.4582	0.593238	0.405424	0.403129	0.484688	0.293	0.5034	0.525911	0.496016	0.504641	0.489772	0.234	0.6283	0.38	0.64	0.636721	0.0182658	0.041	0.4741	0.561628	0.443666	0.464553	0.488377	0.253	0.4855	0.505028	0.481242	0.481382	0.493521	0.167	0.454	0.558009	0.422757	0.407328	0.486429	0.252
438000	0.6121	0.331818	0.625	0.636169	0.0601323	0.056	0.4701	0.526217	0.449659	0.444933	0.492088	0.254	0.5001	0.49869	0.500519	0.473451	0.495404	0.223	0.5034	0.502893	0.503562	0.448258	0.48519	0.247	0.471	0.537449	0.44967	0.467608	0.491115	0.227	0.4593	0.548319	0.431496	0.415307	0.486211	0.245	0.6201	0.365517	0.635775	0.628396	0.0207098	0.063	0.467	0.545736	0.439623	0.464826	0.493348	0.269	0.4398	0.573279	0.396016	0.423605	0.484592	0.258	0.4705	0.548374	0.445093	0.451838	0.489218	0.269
438500	0.5997	0.368085	0.611123	0.615937	0.0404883	0.053	0.4657	0.532569	0.447059	0.40846	0.48118	0.228	0.4543	0.583128	0.412946	0.413763	0.485476	0.245	0.4415	0.621212	0.352985	0.324513	0.460412	0.303	0.4364	0.611364	0.373641	0.356758	0.468921	0.252	0.4303	0.602098	0.361485	0.362117	0.472467	0.282	0.618	0.4	0.630444	0.6348	0.045327	0.069	0.4954	0.50603	0.492759	0.504113	0.492685	0.192	0.5245	0.48	0.533939	0.525204	0.48689	0.201	0.5314	0.454037	0.546246	0.548188	0.482712	0.173
439000	0.6212	0.375	0.634705	0.637002	0.0386203	0.041	0.4711	0.567857	0.428035	0.407199	0.484655	0.271	0.472	0.564317	0.44489	0.428697	0.486709	0.243	0.4922	0.545982	0.476675	0.484553	0.487771	0.211	0.4697	0.528302	0.453934	0.447268	0.483191	0.213	0.4472	0.592308	0.406033	0.436698	0.48473	0.215	0.619	0.368571	0.628083	0.631872	0.0417862	0.033	0.5019	0.5	0.502354	0.495407	0.493147	0.174	0.5113	0.483616	0.517254	0.528127	0.485039	0.16	0.479	0.546332	0.455466	0.443884	0.477826	0.248
439500	0.6377	0.326667	0.657553	0.660218	0.0259808	0.064	0.4644	0.542276	0.438992	0.417922	0.488007	0.221	0.4972	0.519313	0.490482	0.474029	0.48831	0.229	0.4988	0.526829	0.491572	0.49675	0.485574	0.2	0.5115	0.4895	0.517	0.49529	0.493704	0.209	0.458	0.553232	0.424016	0.40358	0.47858	0.272	0.6189	0.395	0.628229	0.629904	0.0616862	0.056	0.4914	0.479412	0.494472	0.488436	0.492906	0.18	0.4933	0.491803	0.493635	0.493479	0.472941	0.194	0.495	0.523963	0.486973	0.52523	0.486358	0.231
440000	0.6265	0.354	0.640842	0.645122	0.0333781	0.043	0.4973	0.50852	0.49408	0.518291	0.493697	0.214	0.4883	0.50766	0.482353	0.495174	0.493408	0.225	0.4877	0.505439	0.482129	0.469057	0.493214	0.245	0.4736	0.559396	0.437179	0.442491	0.492392	0.313	0.435	0.588192	0.378052	0.401081	0.479605	0.231	0.608	0.363636	0.628386	0.630139	0.0561233	0.081	0.4694	0.551867	0.443215	0.450385	0.492378	0.241	0.473	0.513174	0.464946	0.469265	0.486426	0.17	0.5165	0.477064	0.527494	0.549753	0.48941	0.197
440500	0.6192	0.35814	0.63093	0.635729	0.0167875	0.046	0.5182	0.473611	0.530485	0.492589	0.493253	0.199	0.4735	0.553307	0.445895	0.439241	0.48476	0.258	0.459	0.573991	0.425997	0.434873	0.481488	0.249	0.4605	0.566953	0.428162	0.450818	0.490753	0.247	0.4894	0.517734	0.482183	0.472713	0.492965	0.203	0.6727	0.339216	0.690622	0.688094	0.0301818	0.063	0.5039	0.500917	0.504731	0.506431	0.491728	0.226	0.5115	0.501554	0.513879	0.528698	0.488804	0.172	0.5151	0.477604	0.52401	0.528685	0.489737	0.198
441000	0.6009	0.384746	0.614453	0.623691	0.0154727	0.056	0.4598	0.561304	0.429481	0.457512	0.491761	0.229	0.464	0.558436	0.433686	0.427963	0.486525	0.241	0.4967	0.517467	0.490532	0.466793	0.481095	0.225	0.4237	0.61954	0.354533	0.356218	0.470887	0.261	0.4897	0.487143	0.49038	0.528244	0.489471	0.206	0.6407	0.351515	0.661135	0.660989	0.0327492	0.076	0.4816	0.507944	0.474427	0.473379	0.493958	0.222	0.4804	0.521579	0.470741	0.497131	0.489068	0.189	0.494	0.521667	0.487927	0.476405	0.488479	0.202
441500	0.6103	0.381159	0.627282	0.634245	0.0171124	0.068	0.4762	0.540088	0.457439	0.44636	0.484514	0.199	0.4974	0.485915	0.500508	0.490519	0.486573	0.214	0.4651	0.527059	0.443893	0.457943	0.487496	0.255	0.4715	0.541176	0.451733	0.455219	0.495371	0.208	0.4981	0.538739	0.486504	0.455785	0.488738	0.229	0.6577	0.361111	0.668776	0.672338	0.0412322	0.045	0.4917	0.498049	0.490063	0.501698	0.491383	0.212	0.4417	0.590909	0.381933	0.40879	0.481139	0.29	0.4861	0.521401	0.47389	0.469371	0.491414	0.284
442000	0.6212	0.361538	0.639251	0.647141	0.0112921	0.056	0.4659	0.536864	0.443979	0.438053	0.48951	0.224	0.4826	0.55	0.459164	0.463132	0.492425	0.251	0.4877	0.513065	0.481398	0.474959	0.494576	0.218	0.5036	0.477654	0.509257	0.533863	0.487933	0.168	0.5111	0.4659	0.527064	0.503458	0.491893	0.266	0.6331	0.339683	0.652828	0.662685	0.0300495	0.079	0.4868	0.526639	0.473942	0.444028	0.483598	0.232	0.4555	0.598556	0.400692	0.414418	0.48745	0.276	0.478	0.5485	0.460375	0.47472	0.487338	0.191
442500	0.6449	0.312281	0.665005	0.665559	0.0246665	0.056	0.4627	0.535821	0.444305	0.450847	0.484336	0.202	0.4386	0.603125	0.381989	0.392164	0.477735	0.255	0.4831	0.538645	0.464486	0.461457	0.48534	0.26	0.4888	0.551695	0.469372	0.493682	0.487318	0.225	0.4863	0.524537	0.475765	0.503489	0.4915	0.225	0.6159	0.401786	0.628602	0.638522	0.047269	0.054	0.5278	0.464878	0.544025	0.5476	0.484607	0.2	0.4872	0.53176	0.473664	0.436214	0.485861	0.227	0.4602	0.564255	0.428235	0.44581	0.492208	0.255
443000	0.6446	0.325	0.660714	0.664426	0.0215372	0.058	0.4992	0.490732	0.501384	0.496123	0.494014	0.201	0.4752	0.54771	0.449458	0.424603	0.488017	0.274	0.4798	0.52717	0.462721	0.429266	0.487283	0.27	0.495	0.504785	0.492415	0.505379	0.49175	0.218	0.4755	0.54943	0.449118	0.430712	0.485757	0.24	0.5891	0.445	0.595104	0.600707	0.0296444	0.04	0.518	0.462981	0.532449	0.510014	0.476289	0.193	0.5011	0.487864	0.504534	0.473521	0.485444	0.205	0.4733	0.545914	0.448183	0.423216	0.490628	0.247
443500	0.6571	0.298182	0.677989	0.679663	0.0209228	0.058	0.4762	0.546444	0.454139	0.434259	0.479326	0.246	0.4513	0.572269	0.413517	0.412135	0.478099	0.232	0.476	0.550847	0.45288	0.45393	0.492478	0.226	0.4859	0.533161	0.474597	0.482908	0.481949	0.196	0.443	0.592058	0.385892	0.379073	0.46733	0.284	0.5882	0.427273	0.599572	0.599172	0.0139201	0.06	0.492	0.520755	0.484264	0.471407	0.481493	0.207	0.4875	0.529353	0.476971	0.499387	0.4961	0.233	0.5004	0.515164	0.495635	0.486295	0.493663	0.242
444000	0.6612	0.305797	0.68754	0.682782	0.0240493	0.067	0.4945	0.506639	0.490646	0.471684	0.488893	0.233	0.4776	0.562676	0.443855	0.475661	0.496654	0.275	0.4825	0.574312	0.456905	0.419765	0.484325	0.225	0.4422	0.5992	0.389867	0.410034	0.484229	0.269	0.4828	0.529694	0.468872	0.455922	0.494688	0.233	0.5921	0.38	0.602094	0.605461	0.0200226	0.044	0.4818	0.537054	0.465851	0.470643	0.479198	0.219	0.4917	0.521456	0.481191	0.473476	0.494997	0.281	0.5559	0.428249	0.583354	0.605084	0.475094	0.175
444500	0.6382	0.339344	0.657614	0.656149	0.0145678	0.049	0.4301	0.613208	0.364082	0.38604	0.471122	0.279	0.4944	0.513861	0.489474	0.488432	0.491808	0.211	0.5098	0.495238	0.513194	0.539749	0.489574	0.192	0.4591	0.546725	0.433074	0.424377	0.489187	0.234	0.4933	0.536744	0.481401	0.514624	0.495167	0.235	0.596	0.419512	0.603545	0.605564	0.0318491	0.049	0.4767	0.543985	0.452316	0.453993	0.478366	0.279	0.49	0.49604	0.488471	0.492945	0.486778	0.212	0.4773	0.543191	0.454509	0.474561	0.488348	0.263
445000	0.6439	0.320408	0.660568	0.658434	0.0231407	0.056	0.4699	0.541004	0.447569	0.466238	0.490476	0.225	0.4948	0.511441	0.48966	0.465922	0.491988	0.246	0.4985	0.492754	0.5	0.482444	0.49426	0.221	0.4752	0.557944	0.452672	0.435587	0.485778	0.222	0.5045	0.50129	0.505089	0.508797	0.49562	0.154	0.6042	0.387234	0.6149	0.620763	0.0605085	0.048	0.4635	0.544749	0.440717	0.407036	0.4746	0.243	0.4862	0.533617	0.471634	0.470571	0.489982	0.226	0.4518	0.585484	0.391739	0.360807	0.465687	0.291
