Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
7900;0,6849;0,610197;0,0219315;0,987427;0,0100321;0,6872;0,693299;0,0311369;0,996613;0,00676484;0,6865;0,742537;0,0146011;0,994948;0,00771732
8000;0,6947;0,609258;0,0202978;0,990158;0,0114876;0,7132;0,690836;0,0296468;0,996546;0,00657325;0,6512;0,740429;0,0104097;0,99066;0,0105563
8100;0,6613;0,606557;0,0193074;0,993567;0,00937498;0,6556;0,683986;0,0314017;0,992367;0,0109229;0,6238;0,743959;0,00943548;0,99465;0,00850611
8200;0,6571;0,603737;0,022668;0,992441;0,00925358;0,6515;0,672904;0,0336201;0,985077;0,0126167;0,6173;0,736708;0,0152685;0,996711;0,00600646
8300;0,6753;0,597373;0,0279803;0,990464;0,01309;0,6515;0,664027;0,0370561;0,986188;0,0133235;0,5683;0,732015;0,0220895;0,994446;0,00731272
8400;0,7;0,600301;0,0296306;0,989863;0,0121867;0,6593;0,650541;0,0402542;0,988355;0,00959311;0,5826;0,739197;0,021507;0,994551;0,00670305
8500;0,6976;0,597515;0,0343014;0,992649;0,0105865;0,6922;0,634234;0,0382988;0,98681;0,00987217;0,6306;0,735406;0,0174305;0,996704;0,00546953
8600;0,7032;0,602899;0,0380918;0,993067;0,00907281;0,655;0,624744;0,0181665;0,986126;0,0112405;0,6318;0,732678;0,0156253;0,994915;0,00616103
8700;0,7003;0,610479;0,0318955;0,992022;0,00867801;0,6606;0,617513;0,0160112;0,994261;0,00802525;0,5622;0,724404;0,0161798;0,994088;0,00659795
8800;0,7076;0,60881;0,0251167;0,991204;0,0088114;0,6728;0,619095;0,0225245;0,995528;0,00788109;0,5832;0,721909;0,0203465;0,995906;0,00662503
8900;0,6739;0,617048;0,0210208;0,989683;0,0110765;0,728;0,616611;0,0198184;0,996049;0,00598415;0,5867;0,726956;0,0189871;0,994023;0,00688888
9000;0,6829;0,620717;0,019129;0,992194;0,00934055;0,7078;0,607257;0,021716;0,995083;0,00517136;0,5971;0,729171;0,0384504;0,994286;0,00685384
9100;0,7445;0,61857;0,024035;0,990594;0,010512;0,6708;0,609261;0,0252677;0,993708;0,00696309;0,6203;0,719387;0,0442366;0,991571;0,0102406
9200;0,6775;0,610207;0,0262189;0,987452;0,0109661;0,7329;0,609278;0,0262708;0,992181;0,00867435;0,6374;0,709633;0,0410121;0,991259;0,00999537
9300;0,7323;0,607654;0,0275534;0,986316;0,0103854;0,7182;0,591709;0,0136135;0,994756;0,00738384;0,6578;0,712087;0,0442018;0,993239;0,0100149
9400;0,6478;0,603767;0,0255841;0,990457;0,0126358;0,7099;0,585106;0,0124765;0,990417;0,0100027;0,5312;0,723784;0,0341896;0,997282;0,00535537
9500;0,6638;0,599676;0,0225179;0,984751;0,014737;0,701;0,586176;0,0162497;0,992617;0,0103589;0,5158;0,731378;0,0398789;0,995217;0,00650977
9600;0,6882;0,601344;0,0241951;0,983087;0,015696;0,638;0,587822;0,0161881;0,99349;0,00744529;0,6037;0,734418;0,0398686;0,99224;0,00916212
9700;0,703;0,592485;0,0258651;0,984837;0,0130585;0,671;0,590638;0,0242538;0,997538;0,00569067;0,5793;0,719594;0,0484922;0,991506;0,00885429
9800;0,6958;0,590512;0,0220958;0,980385;0,0161044;0,731;0,590574;0,0321888;0,996964;0,00615273;0,6278;0,718938;0,0484733;0,994133;0,00989933
9900;0,6995;0,589557;0,0251017;0,979571;0,0173411;0,6499;0,610056;0,0306462;0,992792;0,00977585;0,6387;0,690625;0,0392988;0,984201;0,0134808
10000;0,6709;0,583875;0,0198195;0,982874;0,0157391;0,7012;0,596829;0,0309647;0,99048;0,00976436;0,6429;0,680665;0,0306486;0,981436;0,0165484
10100;0,6944;0,583178;0,0185991;0,981288;0,0128612;0,6631;0,591669;0,0264399;0,990806;0,00976777;0,6505;0,676757;0,0304808;0,988799;0,0139369
10200;0,7135;0,579032;0,0161541;0,990286;0,0103948;0,6813;0,576401;0,0270767;0,992844;0,00553367;0,6674;0,67418;0,0245776;0,988046;0,0145733
10300;0,7254;0,579902;0,0178094;0,99131;0,0104835;0,69;0,578655;0,023659;0,991561;0,00857874;0,6453;0,688914;0,0182491;0,991071;0,0137715
10400;0,7562;0,579291;0,0182246;0,991013;0,0102898;0,726;0,592923;0,0249179;0,991863;0,0109468;0,6841;0,690506;0,016005;0,991799;0,00937405
10500;0,6836;0,578811;0,0185583;0,986653;0,0104976;0,7047;0,592823;0,0283701;0,992198;0,0107794;0,6953;0,690205;0,0176838;0,992623;0,00953754
10600;0,6882;0,589987;0,0186998;0,990929;0,00978408;0,6493;0,603717;0,0320286;0,99721;0,00541325;0,6493;0,698702;0,0167706;0,993431;0,00773019
10700;0,6609;0,595627;0,016031;0,992727;0,0099273;0,6826;0,615216;0,0308492;0,994018;0,0085605;0,643;0,695079;0,0198036;0,99196;0,00779084
