Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
14300	0.567	0.687297	0.0146627	0.115	0.5523	0.699347	0.0108452	0.14	0.5623	0.66236	0.0265747	0.114
14400	0.5514	0.681139	0.0183257	0.132	0.5639	0.701186	0.0152709	0.156	0.5399	0.66335	0.0186541	0.139
14500	0.5278	0.67898	0.0205995	0.186	0.5441	0.694206	0.0221195	0.168	0.5186	0.658662	0.0208091	0.156
14600	0.5776	0.686997	0.0206879	0.139	0.5699	0.695249	0.0195836	0.132	0.5219	0.658894	0.0166959	0.14
14700	0.5868	0.682758	0.0164177	0.11	0.5707	0.69206	0.0180217	0.123	0.5275	0.655421	0.0174424	0.147
14800	0.5822	0.690817	0.0180082	0.12	0.5401	0.704326	0.0135135	0.164	0.5478	0.65659	0.0155243	0.134
14900	0.5719	0.688368	0.0229463	0.113	0.5586	0.696355	0.0189756	0.141	0.58	0.654993	0.0123869	0.085
15000	0.5932	0.698243	0.0265485	0.11	0.5731	0.687591	0.0221099	0.141	0.538	0.655173	0.0150838	0.145
15100	0.6037	0.692067	0.0294672	0.108	0.556	0.684913	0.0203022	0.144	0.5816	0.664877	0.0170568	0.097
15200	0.5912	0.700103	0.0292288	0.088	0.5674	0.68686	0.0238428	0.126	0.5841	0.679747	0.0246935	0.099
15300	0.6105	0.705884	0.0319284	0.096	0.5461	0.696059	0.0126124	0.165	0.5436	0.677186	0.0181176	0.126
15400	0.5738	0.681171	0.015399	0.112	0.5341	0.701807	0.00910345	0.182	0.5942	0.682995	0.0177946	0.109
15500	0.5633	0.685829	0.0141278	0.129	0.573	0.697465	0.00906045	0.124	0.5478	0.68	0.0186836	0.148
15600	0.5761	0.690996	0.00942501	0.115	0.5676	0.701343	0.0169604	0.14	0.5891	0.667219	0.0154177	0.078
15700	0.5663	0.692782	0.0110397	0.119	0.5999	0.705686	0.0163624	0.104	0.5818	0.668301	0.0143992	0.109
15800	0.6057	0.69018	0.0130543	0.099	0.5436	0.700152	0.02274	0.167	0.5932	0.670624	0.0184706	0.085
15900	0.5561	0.689258	0.010273	0.146	0.5298	0.688841	0.0259623	0.175	0.5584	0.670289	0.0197262	0.141
16000	0.5987	0.686546	0.0140827	0.1	0.5888	0.702093	0.0244804	0.096	0.5586	0.664092	0.0265917	0.126
16100	0.6068	0.689752	0.0182052	0.08	0.5848	0.706107	0.0262823	0.124	0.5645	0.671178	0.0307417	0.114
16200	0.5514	0.691406	0.0154337	0.152	0.5472	0.712284	0.0252563	0.161	0.5202	0.666111	0.0193154	0.152
16300	0.5744	0.694465	0.0176879	0.132	0.5718	0.712416	0.0190145	0.13	0.579	0.672647	0.0219171	0.125
16400	0.5349	0.677598	0.0221415	0.155	0.5664	0.703243	0.0353789	0.132	0.5942	0.68234	0.0317231	0.105
16500	0.5458	0.684307	0.0306045	0.166	0.5818	0.682975	0.0286672	0.116	0.5449	0.683139	0.0319789	0.149
16600	0.5802	0.671911	0.0310524	0.118	0.5281	0.679825	0.0188335	0.154	0.5664	0.692433	0.0330595	0.125
16700	0.5666	0.68231	0.0224614	0.12	0.5631	0.683716	0.0204332	0.123	0.5931	0.701049	0.0340794	0.098
16800	0.5663	0.676467	0.0273466	0.117	0.527	0.679966	0.0258346	0.155	0.5304	0.661506	0.0526624	0.165
16900	0.5703	0.673715	0.0276389	0.111	0.5876	0.702527	0.0330093	0.109	0.5783	0.672162	0.0495744	0.121
17000	0.54	0.668671	0.0256255	0.156	0.552	0.697993	0.0310605	0.139	0.5504	0.65991	0.0454741	0.133
17100	0.5978	0.666901	0.0275045	0.089	0.5428	0.690751	0.0323804	0.162	0.5778	0.680446	0.0373687	0.106
17200	0.51	0.682237	0.0244547	0.206	0.5464	0.683133	0.035046	0.146	0.5539	0.678508	0.0309003	0.142
17300	0.5806	0.686375	0.0182568	0.11	0.5636	0.673086	0.0343067	0.107	0.5556	0.671574	0.0261482	0.129
17400	0.5396	0.670798	0.0204396	0.148	0.5601	0.67226	0.0271001	0.125	0.5849	0.669006	0.0272714	0.09
