Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal
920	0.683	0.0951456	0.945876	0.949095	0.0219785	0.325	0.906372	0.60963	0.6402	0.994118	0.0401617	0.0459298	0.0135173	0.664	0.0041533	0.0288412	0.6196	0.419149	0.717884	0.722095	0.0166004	0.306	0.584689	0.235599
930	0.656	0.094152	0.948024	0.948053	0.0230848	0.329	0.903302	0.464157	0.6501	0.997476	0.0483607	0.042382	0.0139524	0.622	0.00373823	0.0213796	0.6248	0.407571	0.725622	0.72046	0.0196675	0.32	0.585627	0.379692
940	0.6384	0.101102	0.944584	0.948083	0.0229923	0.371	0.901556	0.459007	0.6557	0.99688	0.0465181	0.0443046	0.0143976	0.625	0.00349518	0.0199829	0.6174	0.415269	0.718769	0.723773	0.013099	0.313	0.58223	0.215946
950	0.6432	0.0986072	0.948206	0.948747	0.0234588	0.354	0.899234	0.431065	0.7136	0.997143	0.052	0.047155	0.0167101	0.687	0.00314287	0.0248973	0.638	0.424643	0.720972	0.723785	0.0148084	0.278	0.582235	0.273461
960	0.6765	0.105538	0.951407	0.950332	0.0227301	0.31	0.900189	0.314947	0.6327	0.995806	0.0402632	0.0457517	0.0162816	0.622	0.00381222	0.0388696	0.6607	0.421171	0.729049	0.724737	0.0126824	0.211	0.580376	0.196655
970	0.6311	0.0954178	0.947059	0.948949	0.0227624	0.385	0.900637	0.361555	0.6452	0.996989	0.0436314	0.0445812	0.0138624	0.622	0.00316581	0.0308909	0.6378	0.412274	0.724205	0.723643	0.0136843	0.296	0.57991	0.1845
980	0.6331	0.0902174	0.949209	0.946033	0.0250737	0.359	0.90042	0.33848	0.6253	0.995395	0.0512755	0.0466758	0.0155572	0.604	0.00298773	0.0181237	0.6314	0.42044	0.729765	0.724279	0.0103187	0.323	0.578022	0.135378
990	0.6722	0.104321	0.944379	0.942041	0.0228872	0.339	0.898451	0.242565	0.6736	0.997117	0.0483871	0.0459153	0.017863	0.678	0.00318039	0.018547	0.6439	0.422993	0.727273	0.725486	0.00953956	0.263	0.576896	0.117302
1000	0.6735	0.0984424	0.945361	0.940586	0.0241662	0.316	0.900677	0.28693	0.6755	0.996828	0.0461538	0.0461616	0.0213597	0.678	0.00347983	0.0230645	0.6447	0.429368	0.72394	0.72412	0.00907655	0.298	0.57671	0.0972097
1010	0.6781	0.0952077	0.943668	0.942353	0.026885	0.313	0.901485	0.398496	0.6871	0.996434	0.0504587	0.0447728	0.0216695	0.666	0.00371633	0.0321424	0.616	0.426611	0.721151	0.723852	0.00844207	0.355	0.576518	0.111796
1020	0.6928	0.107591	0.947202	0.945286	0.0271977	0.344	0.90305	0.324003	0.6219	0.997213	0.0348718	0.0407679	0.0189026	0.644	0.00399563	0.0316916	0.6312	0.417377	0.725036	0.725606	0.00924892	0.298	0.576125	0.110329
1030	0.6719	0.0933962	0.941642	0.939879	0.0264223	0.352	0.898306	0.3071	0.6803	0.994925	0.0415152	0.0421466	0.0194899	0.669	0.00438372	0.0234014	0.6303	0.41619	0.728759	0.7248	0.00848326	0.326	0.576016	0.110074
1040	0.6329	0.0969863	0.940945	0.941955	0.0270277	0.375	0.897701	0.339361	0.6424	0.994778	0.0372283	0.0377128	0.0188868	0.607	0.00475877	0.0335763	0.6085	0.432812	0.718019	0.726513	0.00881789	0.372	0.576511	0.151704
1050	0.6799	0.1	0.940435	0.939666	0.0265328	0.301	0.895522	0.45252	0.6439	0.996209	0.0362398	0.0428419	0.0219385	0.631	0.00418455	0.0251602	0.6291	0.412795	0.720484	0.72555	0.00876158	0.271	0.578932	0.200853
