Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
290000	0.4223	0.779661	0.00798964	0.00515995	0.0061867	0.539034	0.0121541	0.4331	0.762576	0.0127447	0.0139346	0.0124565	0.555366	0.0375928	0.428	0.751948	0.00758272	0.0067254	0.00829611	0.559428	0.0226561
295000	0.4282	0.756392	0.00503663	0.00638782	0.00914334	0.570203	0.0558643	0.4353	0.768208	0.00413128	0.00457206	0.00672729	0.558422	0.0150345	0.4214	0.778312	0.00174064	0.0034414	0.00591428	0.53966	0.022813
300000	0.4407	0.748123	0.00555556	0.00512249	0.00746772	0.589402	0.0677786	0.4323	0.751227	0.00884544	0.00676583	0.00764212	0.575749	0.0254722	0.4366	0.766519	0.00895522	0.00860196	0.0102969	0.560393	0.0191677
305000	0.4351	0.769915	0.0047989	0.00371423	0.00606874	0.562701	0.0297651	0.4084	0.766937	0.00425441	0.00466112	0.00678311	0.532085	0.0297858	0.4317	0.777356	0.00424961	0.00420989	0.00680353	0.551501	0.0244565
310000	0.4344	0.765008	0.00551344	0.00509247	0.00898789	0.569835	0.019507	0.4262	0.74023	0.00445173	0.0054518	0.00573792	0.578651	0.0251894	0.4195	0.760197	0.00443656	0.00466098	0.00722389	0.554571	0.0191002
315000	0.4285	0.751059	0.00646353	0.00575414	0.00514892	0.569817	0.0457386	0.4254	0.747698	0.00712316	0.00674282	0.00738295	0.565651	0.0240368	0.4298	0.730546	0.00410628	0.00495163	0.00756869	0.587979	0.0378404
320000	0.4314	0.769644	0.00317245	0.0035458	0.00575204	0.560098	0.080758	0.4137	0.768454	0.0053775	0.0038617	0.00636139	0.528165	0.0173819	0.4239	0.749955	0.00773959	0.0112988	0.0128459	0.568442	0.0419211
325000	0.4119	0.773353	0.00446713	0.00453548	0.00557111	0.529465	0.057606	0.4203	0.776274	0.00325733	0.00392349	0.00613135	0.5462	0.0176053	0.4255	0.758732	0.00430156	0.00453839	0.00712011	0.550546	0.0176296
330000	0.4311	0.739288	0.00759734	0.00884033	0.00861424	0.573309	0.0174551	0.43	0.757608	0.00413983	0.00423786	0.00552761	0.568223	0.0150076	0.4258	0.770644	0.00466459	0.00392938	0.00686498	0.549903	0.0335346
335000	0.4364	0.744997	0.00192632	0.00319684	0.00500463	0.587451	0.0206769	0.4212	0.766697	0.00485116	0.00399024	0.00671982	0.548207	0.0209411	0.4354	0.768373	0.0034459	0.00357079	0.00424891	0.55769	0.0370112
340000	0.4451	0.747933	0.00441935	0.00532334	0.00840394	0.591619	0.0307194	0.4195	0.761783	0.00552364	0.00541062	0.00749784	0.546833	0.0184793	0.4303	0.774316	0.0062514	0.00722415	0.00778952	0.558456	0.0947243
345000	0.4415	0.731229	0.00326633	0.00544686	0.00713618	0.605441	0.0458198	0.4195	0.754027	0.00648045	0.00664756	0.0101873	0.549938	0.0149309	0.426	0.7769	0.00636803	0.00801069	0.00733502	0.545121	0.196385
350000	0.4355	0.746004	0.00334848	0.00264925	0.00498994	0.579046	0.0254027	0.4214	0.752839	0.00853357	0.00704185	0.00895916	0.554096	0.0230131	0.4213	0.780781	0.0113442	0.0136064	0.0165462	0.540825	0.215626
355000	0.4284	0.765501	0.00831087	0.00801113	0.0157442	0.55481	0.0170036	0.4295	0.760769	0.00479233	0.00681063	0.0106094	0.561744	0.0147322	0.4438	0.742088	0.00738916	0.0111271	0.0101766	0.592406	0.21551
360000	0.4247	0.748457	0.000923574	0.00208646	0.00523637	0.56658	0.0240837	0.4251	0.755595	0.00702152	0.00670947	0.00747106	0.562772	0.0274379	0.4267	0.765608	0.00538358	0.00610608	0.00839472	0.557707	0.248875
365000	0.4199	0.757361	0.00711427	0.00607554	0.00916518	0.558234	0.0422822	0.4091	0.793499	0.00287947	0.00438902	0.00683102	0.52059	0.0266448	0.4447	0.759444	0.00574713	0.0070215	0.00748322	0.567205	0.280261
370000	0.415	0.74409	0.00605517	0.00547748	0.00764231	0.561542	0.0124029	0.4053	0.772998	0.00584185	0.00633362	0.00894441	0.534021	0.0830374	0.4479	0.724391	0.0116009	0.0206075	0.0169691	0.595157	0.303898
375000	0.4219	0.767714	0.00331565	0.00458528	0.00591386	0.546554	0.0168466	0.4297	0.778242	0.00267023	0.00295616	0.00410347	0.550107	0.101833	0.415	0.762812	0.00587595	0.00712303	0.00896571	0.55625	0.297201
380000	0.4267	0.745295	0.00695249	0.00542787	0.00804262	0.566725	0.0352783	0.4328	0.753585	0.00443718	0.00434235	0.00565685	0.572723	0.022505	0.4269	0.742787	0.0108897	0.0143306	0.0124658	0.551604	0.293017
