Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
10600	0.6511	-nan	0.6511	0.651012	0.0539246	0	0	0.6952	-nan	0.6952	0.688885	0.0162551	0	0	0.6793	-nan	0.6793	0.671041	0.0218103	0	0
10700	0.6636	-nan	0.6636	0.658121	0.0557448	0	0	0.679	-nan	0.679	0.682533	0.0205128	0	0	0.6779	-nan	0.6779	0.671787	0.0200712	0	0
10800	0.6633	-nan	0.6633	0.65933	0.0697483	0	0	0.6763	-nan	0.6763	0.680032	0.0243029	0	0	0.6634	-nan	0.6634	0.664222	0.0206282	0	0
10900	0.6541	-nan	0.6541	0.664972	0.0622903	0	0	0.6759	-nan	0.6759	0.674543	0.023412	0	0	0.6487	-nan	0.6487	0.650602	0.0184132	0	0
11000	0.6579	-nan	0.6579	0.662061	0.0527089	0	0	0.6658	-nan	0.6658	0.673338	0.0214885	0	0	0.6506	-nan	0.6506	0.652692	0.0134519	0	0
11100	0.673	-nan	0.673	0.680135	0.0461676	0	0	0.6711	-nan	0.6711	0.668065	0.0188392	0	0	0.6581	-nan	0.6581	0.650763	0.0158851	0	0
11200	0.681	-nan	0.681	0.677504	0.0561363	0	0	0.6735	-nan	0.6735	0.671527	0.0163112	0	0	0.6527	-nan	0.6527	0.654535	0.0177633	0	0
11300	0.6645	-nan	0.6645	0.664409	0.0382154	0	0	0.6869	-nan	0.6869	0.680318	0.0151371	0	0	0.6528	-nan	0.6528	0.644074	0.0152609	0	0
11400	0.6716	-nan	0.6716	0.667148	0.0398103	0	0	0.6779	-nan	0.6779	0.681879	0.0190597	0	0	0.6461	-nan	0.6461	0.642113	0.0158047	0	0
11500	0.6718	-nan	0.6718	0.674202	0.0369072	0	0	0.6741	-nan	0.6741	0.678939	0.0208879	0	0	0.6429	-nan	0.6429	0.653892	0.0188899	0	0
11600	0.6859	-nan	0.6859	0.687554	0.0333121	0	0	0.6853	-nan	0.6853	0.685306	0.0157979	0	0	0.6499	-nan	0.6499	0.652285	0.0227145	0	0
11700	0.6859	-nan	0.6859	0.67825	0.0293327	0	0	0.679	-nan	0.679	0.683576	0.0168477	0	0	0.6523	-nan	0.6523	0.648402	0.0240202	0	0
11800	0.6862	-nan	0.6862	0.687362	0.0344171	0	0	0.6681	-nan	0.6681	0.674731	0.0182277	0	0	0.6421	-nan	0.6421	0.643515	0.027133	0	0
11900	0.6691	-nan	0.6691	0.662982	0.0373345	0	0	0.6769	-nan	0.6769	0.674403	0.0170307	0	0	0.6541	-nan	0.6541	0.652402	0.0307993	0	0
12000	0.6564	-nan	0.6564	0.671891	0.0408045	0	0	0.6869	-nan	0.6869	0.685514	0.0143981	0	0	0.6528	-nan	0.6528	0.652998	0.0282105	0	0
12100	0.6933	-nan	0.6933	0.688384	0.0347438	0	0	0.6884	-nan	0.6884	0.688433	0.0157572	0	0	0.6478	-nan	0.6478	0.649932	0.0280048	0	0
12200	0.6808	-nan	0.6808	0.681365	0.0323325	0	0	0.6924	-nan	0.6924	0.695056	0.0184868	0	0	0.6486	-nan	0.6486	0.651194	0.0347813	0	0
12300	0.6735	-nan	0.6735	0.675979	0.0345787	0	0	0.706	-nan	0.706	0.699953	0.0148363	0	0	0.6489	-nan	0.6489	0.65508	0.0399113	0	0
